Order 3
1.94932 7.42182e-16 2.96171e-17
1.94961 8.3622e-16 2.61955e-17
1.9499 7.77402e-16 2.41069e-17
1.95019 7.86406e-16 2.66885e-17
1.95047 6.2351e-16 3.05218e-17
1.95076 5.32438e-16 2.11759e-17
1.95105 6.13409e-16 1.63815e-17
1.95134 7.23806e-16 1.94862e-17
1.95162 8.16109e-16 2.79832e-17
1.95191 8.06302e-16 3.6016e-17
1.9522 7.35321e-16 3.28045e-17
1.95248 7.70881e-16 2.81433e-17
1.95277 8.71855e-16 3.96033e-17
1.95306 7.86219e-16 5.86681e-17
1.95335 7.61538e-16 3.47365e-17
1.95363 8.74089e-16 2.92867e-17
1.95392 8.97644e-16 4.82678e-17
1.95421 7.68014e-16 4.16754e-17
1.9545 8.70955e-16 2.82948e-17
1.95478 9.44822e-16 3.47283e-17
1.95507 8.61189e-16 6.39724e-17
1.95536 6.37551e-16 7.33353e-17
1.95565 7.79873e-16 6.75219e-17
1.95593 9.01464e-16 8.52262e-17
1.95622 8.75469e-16 7.68484e-17
1.95651 7.13446e-16 5.21874e-17
1.9568 8.16969e-16 4.91759e-17
1.95708 7.78173e-16 3.57175e-17
1.95737 9.36407e-16 4.11696e-17
1.95766 9.10682e-16 6.3365e-17
1.95795 6.96119e-16 5.61633e-17
1.95823 8.9331e-16 4.33008e-17
1.95852 9.81806e-16 5.34873e-17
1.95881 8.07498e-16 9.64909e-17
1.9591 6.26671e-16 6.68292e-17
1.95938 7.07574e-16 2.65674e-17
1.95967 7.61028e-16 1.59805e-17
1.95996 8.02477e-16 1.3349e-17
1.96025 8.30423e-16 1.59659e-17
1.96053 9.32053e-16 2.82936e-17
1.96082 6.95074e-16 2.51914e-17
1.96111 7.27402e-16 1.74168e-17
1.9614 7.94414e-16 1.88028e-17
1.96168 8.20822e-16 2.58823e-17
1.96197 7.99882e-16 2.34742e-17
1.96226 9.11661e-16 2.57336e-17
1.96255 8.70286e-16 3.45049e-17
1.96283 8.48895e-16 4.29787e-17
1.96312 8.28267e-16 5.73009e-17
1.96341 6.90648e-16 4.19089e-17
1.9637 6.67926e-16 3.99203e-17
1.96398 8.48035e-16 4.7917e-17
1.96427 7.44587e-16 4.21611e-17
1.96456 7.69515e-16 1.97333e-17
1.96485 8.08638e-16 1.67298e-17
1.96513 8.16915e-16 1.68858e-17
1.96542 8.31656e-16 1.80756e-17
1.96571 7.66388e-16 1.71491e-17
1.966 7.81198e-16 1.32515e-17
1.96628 8.36029e-16 1.29036e-17
1.96657 7.96204e-16 1.19781e-17
1.96686 8.11102e-16 1.27945e-17
1.96715 7.8918e-16 1.41334e-17
1.96743 8.3546e-16 1.99349e-17
1.96772 7.87903e-16 2.42304e-17
1.96801 7.41093e-16 1.61411e-17
1.9683 7.74992e-16 1.29412e-17
1.96858 7.84812e-16 1.11186e-17
1.96887 8.37099e-16 1.20316e-17
1.96916 8.23734e-16 1.3373e-17
1.96945 8.23741e-16 1.55071e-17
1.96973 8.49721e-16 2.24446e-17
1.97002 8.75377e-16 2.2723e-17
1.97031 8.72656e-16 1.87299e-17
1.9706 8.3644e-16 1.56036e-17
1.97088 7.40807e-16 1.69252e-17
1.97117 7.84867e-16 2.33167e-17
1.97146 7.30564e-16 2.2848e-17
1.97174 7.15617e-16 1.92055e-17
1.97203 7.44829e-16 1.47283e-17
1.97232 8.14281e-16 1.09757e-17
1.97261 8.47776e-16 1.03411e-17
1.97289 7.75423e-16 1.06899e-17
1.97318 7.71912e-16 1.27048e-17
1.97347 8.3071e-16 1.74973e-17
1.97376 8.67719e-16 2.44506e-17
1.97404 7.41323e-16 1.77092e-17
1.97433 7.58048e-16 1.24679e-17
1.97462 7.9128e-16 1.45082e-17
1.97491 8.22446e-16 1.79203e-17
1.97519 8.21341e-16 1.78243e-17
1.97548 7.62875e-16 1.55109e-17
1.97577 6.49903e-16 1.34529e-17
1.97606 6.84729e-16 1.01774e-17
1.97634 7.25754e-16 1.02866e-17
1.97663 7.27555e-16 1.74736e-17
1.97692 7.53817e-16 2.41189e-17
1.97721 7.69572e-16 2.41676e-17
1.97749 6.79223e-16 1.40453e-17
1.97778 5.95234e-16 9.04862e-18
1.97807 5.48558e-16 8.47381e-18
1.97836 5.96155e-16 8.56271e-18
1.97864 6.59764e-16 8.33372e-18
1.97893 7.48408e-16 8.96832e-18
1.97922 8.2978e-16 1.32005e-17
1.97951 8.54266e-16 2.45038e-17
1.97979 6.89009e-16 2.33566e-17
1.98008 7.58496e-16 2.23188e-17
1.98037 6.95567e-16 1.48636e-17
1.98066 7.26264e-16 1.03059e-17
1.98094 7.61424e-16 8.95854e-18
1.98123 7.84157e-16 8.73872e-18
1.98152 7.45817e-16 8.44632e-18
1.98181 7.59728e-16 8.2474e-18
1.98209 7.58309e-16 8.59689e-18
1.98238 7.67364e-16 9.87875e-18
1.98267 7.4598e-16 1.09917e-17
1.98296 7.41904e-16 9.52181e-18
1.98324 7.89539e-16 9.63061e-18
1.98353 7.9991e-16 1.31894e-17
1.98382 7.6427e-16 1.44166e-17
1.98411 7.61413e-16 1.1604e-17
1.98439 7.89595e-16 8.50172e-18
1.98468 7.89671e-16 9.3106e-18
1.98497 7.44592e-16 1.01334e-17
1.98526 7.1216e-16 8.64117e-18
1.98554 7.01388e-16 7.70247e-18
1.98583 6.95823e-16 7.60832e-18
1.98612 7.09093e-16 8.32069e-18
1.98641 7.28183e-16 1.19445e-17
1.98669 6.62827e-16 2.04299e-17
1.98698 6.06076e-16 1.37512e-17
1.98727 7.12257e-16 9.55553e-18
1.98756 7.56844e-16 8.62979e-18
1.98784 7.55426e-16 8.44044e-18
1.98813 7.50313e-16 8.03121e-18
1.98842 7.76276e-16 8.23818e-18
1.98871 7.927e-16 9.55018e-18
1.98899 7.6355e-16 1.05052e-17
1.98928 7.61287e-16 1.17578e-17
1.98957 8.21031e-16 1.48769e-17
1.98985 7.31408e-16 1.85419e-17
1.99014 6.70291e-16 1.62673e-17
1.99043 6.96368e-16 1.31455e-17
1.99072 7.10183e-16 9.46625e-18
1.991 7.62497e-16 8.4648e-18
1.99129 7.68737e-16 8.48192e-18
1.99158 7.35685e-16 8.50144e-18
1.99187 6.90517e-16 9.17937e-18
1.99215 6.72083e-16 1.02247e-17
1.99244 7.21277e-16 1.00013e-17
1.99273 7.57688e-16 8.81727e-18
1.99302 7.6024e-16 7.96035e-18
1.9933 7.42506e-16 7.88563e-18
1.99359 7.7816e-16 9.17878e-18
1.99388 7.3233e-16 1.10162e-17
1.99417 7.10203e-16 9.98401e-18
1.99445 7.35853e-16 9.08011e-18
1.99474 7.37252e-16 8.75315e-18
1.99503 7.78579e-16 9.61002e-18
1.99532 7.66651e-16 1.12678e-17
1.9956 7.34947e-16 1.0418e-17
1.99589 7.88137e-16 9.6401e-18
1.99618 8.3683e-16 1.06709e-17
1.99647 8.01238e-16 1.23803e-17
1.99675 7.58364e-16 1.11368e-17
1.99704 7.39637e-16 1.0176e-17
1.99733 7.38746e-16 1.08867e-17
1.99762 7.5394e-16 1.44514e-17
1.9979 7.22305e-16 1.79141e-17
1.99819 7.09615e-16 1.54655e-17
1.99848 7.78215e-16 1.39834e-17
1.99877 7.99037e-16 1.39773e-17
1.99905 8.01588e-16 1.46801e-17
1.99934 7.96814e-16 1.5826e-17
1.99963 7.77359e-16 1.68977e-17
1.99992 7.73468e-16 2.32488e-17
2.0002 8.03861e-16 4.4827e-17
2.00049 8.69985e-16 6.94054e-17
2.00078 8.13805e-16 8.20614e-17
2.00107 7.79829e-16 5.37549e-17
2.00135 7.86404e-16 2.5992e-17
2.00164 8.27431e-16 2.76194e-17
2.00193 8.01529e-16 3.65247e-17
2.00222 7.3916e-16 4.76602e-17
2.0025 8.31319e-16 6.30198e-17
2.00279 7.64944e-16 6.41222e-17
2.00308 8.55238e-16 6.4754e-17
2.00337 7.68825e-16 5.12593e-17
2.00365 8.04402e-16 3.70978e-17
2.00394 8.21844e-16 3.33048e-17
2.00423 8.40019e-16 3.543e-17
2.00452 8.23825e-16 3.42081e-17
2.0048 8.01098e-16 3.94238e-17
2.00509 8.09979e-16 4.28973e-17
2.00538 6.72049e-16 4.59933e-17
2.00567 6.94811e-16 4.26141e-17
2.00595 6.77529e-16 3.1847e-17
2.00624 7.13864e-16 2.50374e-17
2.00653 7.64083e-16 2.56013e-17
2.00682 7.37681e-16 2.50841e-17
2.0071 7.22404e-16 2.16142e-17
2.00739 8.24559e-16 1.81771e-17
2.00768 7.95123e-16 1.74801e-17
2.00797 7.76356e-16 1.48998e-17
2.00825 7.65311e-16 1.38964e-17
2.00854 6.97142e-16 1.16819e-17
2.00883 7.48365e-16 1.08538e-17
2.00911 7.98624e-16 1.33239e-17
2.0094 7.77446e-16 1.58973e-17
2.00969 8.03325e-16 1.99031e-17
2.00998 7.53444e-16 1.96453e-17
2.01026 7.77614e-16 1.82325e-17
2.01055 7.85885e-16 2.00509e-17
2.01084 7.48978e-16 1.8631e-17
2.01113 8.10475e-16 2.21814e-17
2.01141 7.89647e-16 2.09252e-17
2.0117 7.98448e-16 2.20085e-17
2.01199 7.28966e-16 2.1833e-17
2.01228 7.65069e-16 2.17168e-17
2.01256 7.61331e-16 2.49648e-17
2.01285 7.45191e-16 2.08008e-17
2.01314 8.03243e-16 2.45789e-17
2.01343 6.90713e-16 2.22026e-17
2.01371 6.93216e-16 2.09063e-17
2.014 7.05996e-16 2.22777e-17
2.01429 7.03722e-16 1.72928e-17
2.01458 8.25885e-16 2.03722e-17
2.01486 7.62193e-16 2.03913e-17
2.01515 7.45736e-16 1.76437e-17
2.01544 7.70008e-16 2.07391e-17
2.01573 7.46419e-16 1.79552e-17
2.01601 8.01223e-16 1.95655e-17
2.0163 7.21209e-16 2.69629e-17
2.01659 7.0691e-16 2.65535e-17
2.01688 7.45562e-16 2.59404e-17
2.01716 7.45745e-16 1.92711e-17
2.01745 8.25438e-16 1.64627e-17
2.01774 8.57103e-16 2.0541e-17
2.01803 7.46876e-16 1.65016e-17
2.01831 7.77401e-16 1.56169e-17
2.0186 7.89063e-16 1.99352e-17
2.01889 7.17453e-16 2.20555e-17
2.01918 7.41982e-16 2.3208e-17
2.01946 6.65092e-16 2.00851e-17
2.01975 6.92319e-16 1.3158e-17
2.02004 7.19788e-16 1.35842e-17
2.02033 6.77773e-16 1.49527e-17
2.02061 6.98792e-16 1.41197e-17
2.0209 7.94013e-16 1.47539e-17
2.02119 7.6792e-16 1.32706e-17
2.02148 7.64151e-16 1.30352e-17
2.02176 8.15523e-16 1.36112e-17
2.02205 7.38025e-16 1.07851e-17
2.02234 7.46584e-16 9.57339e-18
2.02263 7.6386e-16 1.11493e-17
2.02291 7.25277e-16 1.20577e-17
2.0232 6.85235e-16 1.06416e-17
2.02349 7.38826e-16 1.06716e-17
2.02378 7.55102e-16 1.02287e-17
2.02406 7.71808e-16 9.45881e-18
2.02435 7.69978e-16 1.00159e-17
2.02464 7.31235e-16 1.00251e-17
2.02493 7.4445e-16 9.10642e-18
2.02521 7.41235e-16 8.92119e-18
2.0255 6.96054e-16 8.7149e-18
2.02579 6.96758e-16 8.15239e-18
2.02608 7.37628e-16 8.33818e-18
2.02636 7.44221e-16 8.63049e-18
2.02665 7.15186e-16 8.85066e-18
2.02694 6.99852e-16 1.53698e-17
2.02723 6.78504e-16 2.65728e-17
2.02751 6.94331e-16 2.8379e-17
2.0278 7.41759e-16 2.03587e-17
2.02809 7.55104e-16 1.19423e-17
2.02837 7.70216e-16 1.11096e-17
2.02866 7.03167e-16 1.01166e-17
2.02895 6.74363e-16 9.46219e-18
2.02924 6.78661e-16 8.94482e-18
2.02952 7.45971e-16 8.70976e-18
2.02981 7.70713e-16 8.87606e-18
2.0301 7.49797e-16 8.90628e-18
2.03039 7.32802e-16 8.73367e-18
2.03067 7.04963e-16 8.34197e-18
2.03096 7.05575e-16 7.9327e-18
2.03125 7.36442e-16 9.07496e-18
2.03154 7.73935e-16 9.99135e-18
2.03182 7.83709e-16 9.21359e-18
2.03211 7.87576e-16 8.48083e-18
2.0324 7.76665e-16 7.86884e-18
2.03269 7.73719e-16 8.50139e-18
2.03297 7.3811e-16 9.51291e-18
2.03326 7.26607e-16 1.22652e-17
2.03355 7.12765e-16 1.77799e-17
2.03384 7.35666e-16 1.89347e-17
2.03412 7.37793e-16 1.44618e-17
2.03441 7.38849e-16 9.60315e-18
2.0347 7.20616e-16 8.41785e-18
2.03499 7.22398e-16 7.74713e-18
2.03527 7.1709e-16 7.34787e-18
2.03556 6.79929e-16 7.23351e-18
2.03585 6.97085e-16 7.30221e-18
2.03614 7.31154e-16 7.36624e-18
2.03642 7.50068e-16 7.51175e-18
2.03671 7.69201e-16 7.59646e-18
2.037 7.48847e-16 7.51974e-18
2.03729 7.39897e-16 7.39523e-18
2.03757 7.58496e-16 7.49843e-18
2.03786 7.66822e-16 7.81856e-18
2.03815 7.46326e-16 7.89405e-18
2.03844 7.23073e-16 7.6578e-18
2.03872 7.20636e-16 7.46166e-18
2.03901 7.20731e-16 7.4134e-18
2.0393 7.10553e-16 7.52753e-18
2.03959 7.15522e-16 8.47554e-18
2.03987 7.23561e-16 9.64597e-18
2.04016 7.19051e-16 9.52323e-18
2.04045 7.25782e-16 1.11762e-17
2.04074 7.28222e-16 2.22341e-17
2.04102 7.53056e-16 2.94077e-17
2.04131 7.47784e-16 2.50685e-17
2.0416 7.52469e-16 1.23894e-17
2.04189 7.45383e-16 7.87414e-18
2.04217 7.28553e-16 7.59059e-18
2.04246 7.50635e-16 7.89141e-18
2.04275 7.95674e-16 8.15634e-18
2.04304 7.82476e-16 8.03702e-18
2.04332 7.53916e-16 8.01463e-18
2.04361 7.18611e-16 8.14019e-18
2.0439 7.04064e-16 8.35503e-18
2.04419 6.80943e-16 8.06349e-18
2.04447 6.82948e-16 7.79524e-18
2.04476 6.95712e-16 7.57612e-18
2.04505 6.94092e-16 7.48362e-18
2.04534 7.08295e-16 7.5487e-18
2.04562 7.23371e-16 7.63465e-18
2.04591 7.13154e-16 7.51201e-18
2.0462 7.40223e-16 7.62451e-18
2.04648 7.57258e-16 7.79894e-18
